"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"臀部滚煤","臀部","滚煤","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"臀部虚弱","臀部","虚弱","unrelated","word","word",0.949866821791089,-0.371435530063781,0.619878564710098,0.0904185815711655,47,52,52,0,1,51,51,1,1,FALSE,TRUE,FALSE
"自吻名闲","自吻","名闲","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自吻维修","自吻","维修","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自杀美元","自杀","美元","unrelated","word","word",0.699915982749587,-0.103936061942549,0.366996227512413,0.116054397162858,10,12,12,1,1,12,12,1,1,FALSE,FALSE,FALSE
"自杀节相","自杀","节相","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自杀谋杀","自杀","谋杀","related","word","word",0.893592949855943,-0.419161205333874,0.584594256351263,0.146148564087816,16,18,18,1,1,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
"自由世界","自由","世界","unrelated","word","word",0.881238976707546,-0.82075306963859,0.421875166469065,0.0563754404612665,56,59,60,1,0.983333333333333,57,59,2,0.966101694915254,TRUE,TRUE,TRUE
"自由发仁","自由","发仁","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自由民主","自由","民主","related","word","word",0.919141525043992,-0.449220753091316,0.390401662986702,0.0701182085924817,31,32,32,0,1,32,32,0,1,FALSE,FALSE,FALSE
"自象忍显","自象","忍显","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自象早餐","自象","早餐","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自豪兴奋","自豪","兴奋","related","word","word",0.881395907519151,-0.951196023696947,0.210438774502815,0.0634496778516405,11,13,13,2,1,11,13,2,0.846153846153846,FALSE,FALSE,FALSE
"自豪包轴","自豪","包轴","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自豪大众","自豪","大众","unrelated","word","word",0.936238221796674,-0.422384724978755,0.62655369070663,0.156638422676657,16,19,19,0,1,19,19,0,1,FALSE,FALSE,FALSE
"自豪夫毒","自豪","夫毒","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"自豪尊严","自豪","尊严","related","word","word",0.937996165703954,-0.510815029610824,0.607163026926238,0.0936872890278423,42,44,45,1,0.977777777777778,41,45,1,0.911111111111111,FALSE,FALSE,FALSE
"自豪选举","自豪","选举","unrelated","word","word",0.7804881300847,-0.165764163834647,0.660132999616433,0.120523244947823,30,32,33,0,0.96969696969697,33,33,0,1,FALSE,FALSE,FALSE
"至行可怕","至行","可怕","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"至行干报","至行","干报","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"致路投资人","致路","投资人","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"致路罪主","致路","罪主","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"舒适再见","舒适","再见","unrelated","word","word",0.54205226289486,-0.414918612247401,0.621515615029108,0.16047464176104,15,18,18,0,1,17,18,0,0.944444444444444,FALSE,FALSE,FALSE
"舒适愉快","舒适","愉快","related","word","word",0.909311589372203,-0.39705296281666,1.48106010763834,0.468352329175131,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
