"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"fumarcharuto","fumar","charuto","related","word","word",0.578757066102362,-0.0480137046684509,0.913528526686892,0.161490554006914,32,35,38,0,0.921052631578947,38,38,0,1,FALSE,FALSE,FALSE
"fumarpsicologia","fumar","psicologia","unrelated","word","word",0.13012403439013,-0.347575224665653,0.613688513614888,0.106829457937016,33,33,33,1,1,33,33,1,1,FALSE,FALSE,FALSE
"fumavuiscientista","fumavuis","cientista","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fumavuispaodi","fumavuis","paodi","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funetecerca","funete","cerca","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funetereira","funete","reira","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funvamicroscópio","funva","microscópio","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funvapria mempre","funva","pria mempre","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"furabertemasamento","furaberte","masamento","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"furabertepartícula","furaberte","partícula","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"furacãohonta","furacão","honta","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
