"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"kunmakzırh","kunmak","zırh","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kunünsiyaring","kunün","siyaring","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kunünyasaklamak","kunün","yasaklamak","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuongenstrüman","kuong","enstrüman","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuongonz","kuong","onz","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuraçılmakbesbelli","kuraçılmak","besbelli","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuraçılmakmeaçıklık","kuraçılmak","meaçıklık","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuraçılmaksıağırlık","kuraçılmak","sıağırlık","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuraçılmaktehlike","kuraçılmak","tehlike","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuralanabar","kural","anabar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuralkontes","kural","kontes","unrelated","word","word",0.12066762793914,0.864832243719976,1.37980985230386,0.134018980228401,106,121,204,9,0.593137254901961,187,207,6,0.903381642512077,FALSE,TRUE,TRUE
"kuralprotokol","kural","protokol","related","word","word",0.504526134554439,-0.0899122165053998,0.591562748610634,0.0507260872048687,136,145,154,5,0.941558441558442,150,154,5,0.974025974025974,TRUE,TRUE,TRUE
"kurbağafiulaşman","kurbağa","fiulaşman","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kurbağakertenkele","kurbağa","kertenkele","related","word","word",0.605493477432489,-0.135943634749974,0.75436371658288,0.0691524085204141,119,125,128,7,0.9765625,127,128,7,0.9921875,TRUE,TRUE,TRUE
"kurbağayatak odası","kurbağa","yatak odası","unrelated","word","word",NA,-0.244983637782065,0.570465858243212,0.0522945194857461,119,131,134,7,0.977611940298508,132,134,7,0.985074626865672,TRUE,TRUE,TRUE
"kurbansaldırgan","kurban","saldırgan","related","word","word",0.339742798031391,-0.355199729064933,0.717999191425277,0.063216303883145,129,138,145,9,0.951724137931034,138,146,8,0.945205479452055,TRUE,TRUE,TRUE
"kurbantanıford","kurban","tanıford","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kurbanvefalı","kurban","vefalı","unrelated","word","word",0.110830196073456,-0.223838778626767,0.708207633104148,0.0614093899157687,133,136,138,3,0.985507246376812,134,137,4,0.978102189781022,TRUE,TRUE,TRUE
"kurnemcinayet","kurnem","cinayet","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kurnemsadız","kurnem","sadız","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kurtarmakdonan","kurtarmak","donan","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kurtarmakkeskin nişancı","kurtarmak","keskin nişancı","unrelated","word","word",NA,0.290230936445348,1.08421081834458,0.0962081527237432,127,136,142,9,0.957746478873239,136,143,8,0.951048951048951,FALSE,TRUE,TRUE
"kurtarmakkorumak","kurtarmak","korumak","related","word","word",0.680120736135553,-0.517873741323437,0.593446729199577,0.0496265085657988,143,155,157,6,0.987261146496815,155,157,6,0.987261146496815,TRUE,TRUE,TRUE
"kurtulmakbiişitsel","kurtulmak","biişitsel","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kurtulmakefsane","kurtulmak","efsane","unrelated","word","word",0.102385195395701,-0.605838596275008,0.395554306805427,0.0377146233553947,110,119,121,4,0.983471074380165,115,120,5,0.958333333333333,TRUE,TRUE,TRUE
"kurtulmakiyileşmek","kurtulmak","iyileşmek","related","word","word",0.381567019065702,-0.330262426603677,0.693217846032126,0.0575686086669139,145,156,159,15,0.981132075471698,151,158,16,0.955696202531646,TRUE,TRUE,TRUE
"kuruıslak","kuru","ıslak","related","word","word",0.518065037836817,-0.551859147730213,0.722667441006147,0.0567781164531306,162,192,198,4,0.96969696969697,188,198,4,0.94949494949495,TRUE,TRUE,TRUE
